2025-06-12 14:29:36,458 - INFO - Progress: 153000 files scanned, 1 large files found
2025-06-12 14:29:36,488 - INFO - Progress: 154000 files scanned, 1 large files found
2025-06-12 14:29:36,518 - INFO - Progress: 155000 files scanned, 1 large files found
2025-06-12 14:29:36,545 - INFO - Progress: 156000 files scanned, 1 large files found
2025-06-12 14:29:36,566 - INFO - Progress: 157000 files scanned, 1 large files found
2025-06-12 14:29:36,593 - INFO - Progress: 158000 files scanned, 1 large files found
2025-06-12 14:29:36,623 - INFO - Progress: 159000 files scanned, 1 large files found
2025-06-12 14:29:36,656 - INFO - Progress: 160000 files scanned, 1 large files found
2025-06-12 14:29:36,689 - INFO - Progress: 161000 files scanned, 1 large files found
2025-06-12 14:29:36,712 - INFO - Progress: 162000 files scanned, 1 large files found
2025-06-12 14:29:36,738 - INFO - Progress: 163000 files scanned, 1 large files found
2025-06-12 14:29:36,761 - INFO - Progress: 164000 files scanned, 1 large files found
2025-06-12 14:29:36,783 - INFO - Progress: 165000 files scanned, 1 large files found
2025-06-12 14:29:36,810 - INFO - Progress: 166000 files scanned, 1 large files found
2025-06-12 14:29:36,833 - INFO - Progress: 167000 files scanned, 1 large files found
2025-06-12 14:29:36,856 - INFO - Progress: 168000 files scanned, 1 large files found
2025-06-12 14:29:36,881 - INFO - Progress: 169000 files scanned, 1 large files found
2025-06-12 14:29:36,903 - INFO - Progress: 170000 files scanned, 1 large files found
2025-06-12 14:29:36,920 - INFO - Progress: 171000 files scanned, 1 large files found
2025-06-12 14:29:36,940 - INFO - Progress: 172000 files scanned, 1 large files found
2025-06-12 14:29:36,958 - INFO - Progress: 173000 files scanned, 1 large files found
2025-06-12 14:29:36,975 - INFO - Progress: 174000 files scanned, 1 large files found
2025-06-12 14:29:36,996 - INFO - Progress: 175000 files scanned, 1 large files found
2025-06-12 14:29:37,016 - INFO - Progress: 176000 files scanned, 1 large files found
2025-06-12 14:29:37,033 - INFO - Progress: 177000 files scanned, 1 large files found
2025-06-12 14:29:37,053 - INFO - Progress: 178000 files scanned, 1 large files found
2025-06-12 14:29:37,068 - INFO - Progress: 179000 files scanned, 1 large files found
2025-06-12 14:29:37,087 - INFO - Progress: 180000 files scanned, 1 large files found
2025-06-12 14:29:37,106 - INFO - Progress: 181000 files scanned, 1 large files found
2025-06-12 14:29:37,143 - INFO - Progress: 182000 files scanned, 1 large files found
2025-06-12 14:29:37,176 - INFO - Progress: 183000 files scanned, 1 large files found
2025-06-12 14:29:37,208 - INFO - Progress: 184000 files scanned, 1 large files found
2025-06-12 14:29:37,247 - INFO - Progress: 185000 files scanned, 1 large files found
2025-06-12 14:29:37,277 - INFO - Progress: 186000 files scanned, 1 large files found
2025-06-12 14:29:37,312 - INFO - Progress: 187000 files scanned, 1 large files found
2025-06-12 14:29:37,351 - INFO - Progress: 188000 files scanned, 1 large files found
2025-06-12 14:29:37,404 - INFO - Progress: 189000 files scanned, 1 large files found
2025-06-12 14:29:37,444 - INFO - Progress: 190000 files scanned, 1 large files found
2025-06-12 14:29:37,483 - INFO - Progress: 191000 files scanned, 1 large files found
2025-06-12 14:29:37,520 - INFO - Progress: 192000 files scanned, 1 large files found
2025-06-12 14:29:37,554 - INFO - Progress: 193000 files scanned, 1 large files found
2025-06-12 14:29:37,587 - INFO - Progress: 194000 files scanned, 1 large files found
2025-06-12 14:29:37,621 - INFO - Progress: 195000 files scanned, 1 large files found
2025-06-12 14:29:37,654 - INFO - Progress: 196000 files scanned, 1 large files found
2025-06-12 14:29:37,691 - INFO - Progress: 197000 files scanned, 1 large files found
2025-06-12 14:29:37,720 - INFO - Progress: 198000 files scanned, 1 large files found
2025-06-12 14:29:37,754 - INFO - Progress: 199000 files scanned, 1 large files found
2025-06-12 14:29:37,787 - INFO - Progress: 200000 files scanned, 1 large files found
2025-06-12 14:29:37,816 - INFO - Progress: 201000 files scanned, 1 large files found
2025-06-12 14:29:37,843 - INFO - Progress: 202000 files scanned, 1 large files found
2025-06-12 14:29:37,899 - INFO - Progress: 203000 files scanned, 1 large files found
2025-06-12 14:29:37,933 - INFO - Progress: 204000 files scanned, 1 large files found
2025-06-12 14:29:37,950 - INFO - 📊 Scan completed. Found 1 large files.
2025-06-12 14:29:55,052 - INFO - ✅ Deleted: /Users/robertsuarez/Downloads/348d39b8-0d55-4a1c-bd79-30e01fcfe9dd-files/android/android-studio-2024.3.2.14-mac_arm.dmg (1.25 GB)
2025-06-12 14:29:55,052 - INFO - CLEANUP SUMMARY:
2025-06-12 14:29:55,053 - INFO - {
  "start_time": "2025-06-12T14:29:34.195760",
  "runtime_seconds": 20.857233,
  "completion_status": "COMPLETED",
  "files_scanned": 204786,
  "files_deleted": 1,
  "bytes_freed": 1346761753,
  "large_files_found": 1,
  "directories_scanned": 1,
  "errors": {
    "total": 0,
    "permission_errors": 0,
    "io_errors": 0,
    "other_errors": 0
  },
  "interrupted": false
}
